titles,interviewee,url
建筑是我的生活，更是我的所爱—Archdaily专访人道主义建筑师坂茂,坂茂的全部作品不仅仅呈现了他善良的初衷，都体现了创意的思维模式及革新的设计理...,http://www.chinabuildingcentre.com/show-41-627-1.html
大脚的革命：我的新美学思想与新景观实践,文 俞孔坚1 小脚 大脚：中国传统审美观和可持续性在将近一千年的时间里，中国的...,http://www.chinabuildingcentre.com/show-41-626-1.html
坂茂：不热爱橄榄球的木匠不是好建筑师,坂茂成长于艺术之家坂茂1957年8月5日出生于东京，父亲是丰田公司的业务人员，母亲...,http://www.chinabuildingcentre.com/show-41-625-1.html
责任与关怀：2014年普利兹克建筑奖获奖者坂茂的评语,自三十五年前设立以来，普利兹克建筑奖的宗旨一直都是表彰当代在世建筑师的杰出建...,http://www.chinabuildingcentre.com/show-41-624-1.html
Arup Associates五十周年上海站展览活动议程,延续的特性（SUSTAINING IDENTITY）即将来到上海！延续的特性是Arup Associates...,http://www.chinabuildingcentre.com/show-41-623-1.html
【一体化设计】一体化设计之源——探秘Arup Associates团队（二）,吴嘉伟︳Arup Associates东亚建筑总监：Arup Associates1963年成立，进入中国已...,http://www.chinabuildingcentre.com/show-41-622-1.html
【绿色先锋】打造建筑的“绿肺”Arup Associates的幕墙设计,提高自然能源在建筑中的使用率，有效的使构筑空间、城市、自然环境更好的融合，是...,http://www.chinabuildingcentre.com/show-41-621-1.html
【创新思维】情•艺 ARUP ASSOCIATES秉承的人文关怀,台湾教育建筑学者汉宝德先生曾说过，人性的空间就是人人都感到温暖的空间。Arup A...,http://www.chinabuildingcentre.com/show-41-620-1.html
人法天工——站在建筑史门槛上的李兴钢,文 周榕零·共看明月皆如此一道门槛，把绝大多数建筑师隔绝在建筑史之外。建筑是...,http://www.chinabuildingcentre.com/show-41-618-1.html
胜景几何,文 李兴钢关于人工与自然虽然人类的文化都封闭于地球这一星体，但中西方文化的确...,http://www.chinabuildingcentre.com/show-41-619-1.html
李兴钢建筑作品对话会,时间：2013年10月25日周五10:00地点：北京车公庄大街19号中国建筑设计研究院主办单...,http://www.chinabuildingcentre.com/show-41-617-1.html
始终如一的“一体化设计”——Arup Associates的发展历程,如果建筑师能够深入地进行设计，而不流于建筑的表面修饰，那么他将创造出伟大的建...,http://www.chinabuildingcentre.com/show-41-616-1.html
Arup Associates五十周年庆典全球巡展上海站即将开幕,完美融合艺术与科学 大胆诠释行业新标准——Arup Associates五十周年庆典全球巡...,http://www.chinabuildingcentre.com/show-41-615-1.html
【绿色先锋】ARUP ASSOCIATES不可不知的节能技术突破,历经半个世纪的光阴流传，Arup Associates犹如繁茂于国际建筑设计领域的一支常青...,http://www.chinabuildingcentre.com/show-41-614-1.html
【创新思维】技•艺——Arup Associates诠释的完美建筑,历经半个世纪的光阴流传，Arup Associates犹如繁茂于国际建筑设计领域的一支常青...,http://www.chinabuildingcentre.com/show-41-613-1.html
【一体化设计】一体化设计之源——探秘Arup Associates团队（一）,UED：Arup Associates团队是如何区别于传统建筑工作模式，怎样展开一个项目的设计...,http://www.chinabuildingcentre.com/show-41-612-1.html
隈研吾呼吁建筑师应该懂得“谦逊”,海啸让我们发现：与自然力量相比，我们是如此软弱在2011年日本大海啸的周年纪念会...,http://www.chinabuildingcentre.com/show-41-611-1.html
以景观都市主义的理念解构城镇化,淮海路、新天地、田子坊簇拥下的思南公馆散发着浓厚的人文历史底蕴，在这片融古贯...,http://www.chinabuildingcentre.com/show-41-610-1.html
有温度的建构：超现实主义建筑师藤森照信,一座环绕在樱花树丛中以单脚支撑的茶室展现出日本建筑师藤森照信（Fujimori Terun...,http://www.chinabuildingcentre.com/show-41-609-1.html
丹·罗斯加德：科技如诗,丹·罗斯加德当雾霾频频侵袭中国各个省份之时，荷兰新锐建筑师、艺术家——丹·罗...,http://www.chinabuildingcentre.com/show-41-607-1.html
深圳宝安机场：蜂巢的窗，蕾丝的光,深圳宝安机场T3号楼设计效果图点!点!点!被网友调侃密集恐惧症勿进的深圳宝安机场T3...,http://www.chinabuildingcentre.com/show-41-605-1.html
直击人心的品牌重建过程——瑞士奥林匹克博物馆,自2007年瑞士奥林匹克因整修而关闭到今年的重新对外开放已有7年之久。走进博物馆，...,http://www.chinabuildingcentre.com/show-41-604-1.html
马岩松：建筑就是要天马行空,2006年，马岩松凭借加拿大多伦多梦露大厦的设计一举成名，成为首位在国外赢得重大...,http://www.chinabuildingcentre.com/show-41-603-1.html
艺术与地产联姻惹争议 谁在热衷民营美术馆建设,作者 辛追、李斌、郁华、常安龙美艺术馆资料图龙美术馆、喜玛拉雅美术馆、先锋当...,http://www.chinabuildingcentre.com/show-41-602-1.html
专访西班牙著名建筑师坎波·巴埃萨,文 刘莉芳 梁轶雯致力于更纯净、更现代和更精致的作品西班牙建筑师坎波·巴埃萨2...,http://www.chinabuildingcentre.com/show-41-601-1.html
欲望的狂想——瑞姆·库哈斯,在中国，瑞姆·库哈斯（REM KOOHAAS）真正成为家喻户晓的人物，应该从CCTV新总部...,http://www.chinabuildingcentre.com/show-41-600-1.html
斯蒂芬·霍尔谈绿色建筑设计,创造性和富有想象力的设计对可持续建设和地区开发具有根本性意义。设计师斯蒂芬·...,http://www.chinabuildingcentre.com/show-41-599-1.html
